target_rating,alpha,filename,pixel_min_before_clip,pixel_max_before_clip
1.0,-2990047.0357904905,synthetic_rating_1.0.png,-3.9196106604568612,224.71560489409111
1.5,-2386910.972090946,synthetic_rating_1.5.png,8.43633702697771,207.5440663796997
2.0,-1783774.9083914019,synthetic_rating_2.0.png,20.792284714412276,198.0105549309613
2.5,-1180638.8446918577,synthetic_rating_2.5.png,31.74945560516905,189.43376828767438
3.0,-577502.7809923134,synthetic_rating_3.0.png,42.06042513220316,186.8963954374285
3.5,25633.28270723089,synthetic_rating_3.5.png,51.60045110379255,187.44208591956402
4.0,628769.3464067752,synthetic_rating_4.0.png,53.778689271057864,192.64019231239894
4.5,1231905.4101063195,synthetic_rating_4.5.png,47.53851687666005,200.7213327214736
5.0,1835041.4738058636,synthetic_rating_5.0.png,34.701249677295934,219.688937481069
0.5,-3593183.099490035,synthetic_rating_0.5.png,-17.567541059392894,244.0389745146844
5.5,2438177.537505408,synthetic_rating_5.5.png,17.87503757451728,238.6565422406644
