presentation_order,adapt_label,adapt_rating,test_target_rating,adapt_duration_s,test_duration_s,response,rt_seconds
1,sad_endpoint,2.3025669611925355,3.0,27.36,0.75,3,5.749
2,sad_endpoint,2.3025669611925355,3.2,28.88,0.7,4,2.225
3,happy_endpoint,5.388545988536815,3.0,21.09,0.93,2,6.241
4,happy_endpoint,5.388545988536815,3.0,24.54,0.85,3,3.187
5,happy_endpoint,5.388545988536815,3.2,21.4,0.74,3,5.135
6,happy_endpoint,5.388545988536815,2.8,20.82,0.97,3,0.923
7,sad_endpoint,2.3025669611925355,3.0,24.93,0.88,3,2.452
8,happy_endpoint,5.388545988536815,3.2,29.78,0.54,3,1.681
9,sad_endpoint,2.3025669611925355,3.2,29.61,0.82,4,0.645
10,happy_endpoint,5.388545988536815,3.2,20.65,0.52,3,4.401
11,sad_endpoint,2.3025669611925355,3.0,21.38,0.51,4,1.251
12,sad_endpoint,2.3025669611925355,3.2,22.9,0.52,4,1.064
13,happy_endpoint,5.388545988536815,2.8,26.24,0.95,2,0.75
14,sad_endpoint,2.3025669611925355,2.8,20.89,0.58,3,5.054
15,happy_endpoint,5.388545988536815,2.8,22.25,0.94,2,0.418
16,sad_endpoint,2.3025669611925355,2.8,29.42,0.68,3,1.422
17,sad_endpoint,2.3025669611925355,2.8,21.9,0.68,4,3.217
18,happy_endpoint,5.388545988536815,3.0,24.38,0.72,3,1.469
