processed_filename,mean_rating
18_1_0_20170102235007970_proc.png,2.75
18_1_0_20170104022856102_proc.png,3.75
18_1_0_20170105002457379_proc.png,4.25
18_1_0_20170109205411880_proc.png,3.0
18_1_0_20170109212417557_proc.png,3.0
18_1_0_20170109212422272_proc.png,2.5
18_1_0_20170109212425897_proc.png,3.5
18_1_0_20170109212538216_proc.png,4.25
18_1_0_20170109212814819_proc.png,3.5
18_1_0_20170109212828069_proc.png,3.5
18_1_0_20170109212830216_proc.png,2.75
18_1_0_20170109212847067_proc.png,3.25
18_1_0_20170109212849263_proc.png,3.0
18_1_0_20170109212908376_proc.png,4.25
18_1_0_20170109212914272_proc.png,4.5
18_1_0_20170109212921724_proc.png,3.0
18_1_0_20170109212936696_proc.png,3.75
18_1_0_20170109213008587_proc.png,4.75
18_1_0_20170109213142404_proc.png,2.5
18_1_0_20170109213413212_proc.png,3.5
18_1_0_20170109213544430_proc.png,2.5
18_1_0_20170109213904824_proc.png,4.25
18_1_0_20170109213911368_proc.png,4.25
18_1_0_20170109213919463_proc.png,4.5
18_1_0_20170109213935367_proc.png,3.5
18_1_0_20170109213938695_proc.png,3.25
18_1_0_20170109214004496_proc.png,3.5
18_1_0_20170109214044181_proc.png,4.75
18_1_0_20170109214106546_proc.png,2.75
18_1_0_20170109214120554_proc.png,3.5
18_1_0_20170109214251980_proc.png,4.0
18_1_0_20170109214309566_proc.png,3.0
18_1_0_20170109214453184_proc.png,4.25
18_1_0_20170109214455239_proc.png,2.5
18_1_0_20170109214503497_proc.png,4.0
18_1_0_20170109214512153_proc.png,3.25
18_1_0_20170109214554528_proc.png,5.0
18_1_0_20170109214559082_proc.png,4.75
18_1_0_20170109214601671_proc.png,4.25
18_1_0_20170109214608184_proc.png,3.0
18_1_0_20170109214646809_proc.png,4.0
18_1_0_20170109214700491_proc.png,4.25
18_1_0_20170117135802544_proc.png,4.25
18_1_0_20170117140331327_proc.png,4.0
18_1_0_20170117140340105_proc.png,3.25
18_1_0_20170117140343665_proc.png,3.0
18_1_0_20170117140440920_proc.png,3.0
18_1_0_20170117150406531_proc.png,4.5
19_1_0_20170103162951552_proc.png,4.0
19_1_0_20170103175610671_proc.png,4.0
19_1_0_20170103175624137_proc.png,3.0
19_1_0_20170104011946801_proc.png,4.25
19_1_0_20170109212903959_proc.png,3.0
19_1_0_20170109213247084_proc.png,3.0
19_1_0_20170112231655238_proc.png,3.0
19_1_0_20170116212113630_proc.png,3.25
20_1_0_20170103163040136_proc.png,4.75
20_1_0_20170103175525991_proc.png,2.75
20_1_0_20170103175629504_proc.png,4.5
20_1_0_20170103175645974_proc.png,3.5
20_1_0_20170103201716816_proc.png,4.25
